drug_name,mode-of-action,target_proteins,reference
GDC0941_Pictilisib,PI3Ki,"ABCB11,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,CYP2D6,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PRKDC,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
GS9973_Entospletinib,SYKi,"CYP2D6,FLT3,JAK2,KDR,RET,SYK",CHEMBL
GSK2334470,PDK1i,"AKT1,AKT3,AURKA,AURKB,BRSK2,CHEK2,EGFR,GSK3B,KDR,MAP3K5,MET,NLK,PDK1,PDPK1,PIK3CG,PRKCQ,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA6,SGK1,SGK2,SYK,TGFBR1",CHEMBL
GSK429286A,ROCK1i,"ROCK1,ROCK2,RPS6KA1,RPS6KB1",CHEMBL
GSK525762A,BETi,"BRD2,BRD3,BRD4,CREBBP,CYP2D6,SMARCA4",CHEMBL
GSK923295,CENPEi,,CHEMBL
Geldanamycin,HSP90i,"ABL1,ATAD5,BCR,CAMK2A,CAMK2G,CBFB,CDK2,CDK6,CHEK2,CLK2,CLK3,CSNK1G3,CYP2D6,DMPK,ERBB2,FES,GSK3B,HDAC1,HDAC2,HDAC7,HDAC8,HIF1A,HSP90AA1,HSP90AB1,JAK1,LMNA,MAP2K2,MAP3K5,MAPK3,MTOR,NEK2,NEK6,PAK4,PBK,PDPK1,PIM1,PIM2,PIM3,PLK1,PLK4,PRKAA2,PRKDC,RIPK1,RPS6KA3,RUNX1,STK16,STK3,STK4,TDP1,TNIK,USP1,VDR,VRK1",CHEMBL
Gemcitabine,Cytostatic_Antimetabolite,"ABCB1,ABCB11,ADORA2A,AGTR2,BDKRB2,CYP2D6,DCK,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,LCK,MAPK1,MAPK14,MAPK3,OPRK1,PTPRC,RRM1,RRM2,RRM2B,SIRT1,TDP1",CHEMBL
Gilteritinib,FLT3i_AXLi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX6,EGFR,EIF2AK1,EML4,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,ETV6,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NLK,NTRK1,PAK4,PDGFRB,PIM1,PKMYT1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKD2,PTK2B,PTK6,RAC1,RAN,RET,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TTK,TYK2,WEE1,YES1",CHEMBL
IBET151,BETi,"BRD2,BRD3,BRD4,CREBBP,CYP2D6,PDE4B,SMARCA4",CHEMBL
